degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,INST,3313,Survey of Instructional Technologies,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,SILC,4315,Theories of American Pluralism,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,GEOG,1303,World Regional Geography,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,PSYC,1100,Learning Frameworks,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,EDUC,4310,Theories of Educational Psychology,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,EDUC,4310,Theories of Educational Psychology,College Core Requirements,
Humanities B.A.,WRIT,1301,Composition I,University Core Requirements,42
Management B.S.,DSCI,3331,Quantitative Methods for Management,College Core Requirements,
Management B.S.,ECON,3311,Money and Banking,College Core Requirements,
Management B.S.,FINC,3331,Business Finance,College Core Requirements,
Management B.S.,ISAM,3303,Information Systems for Management,College Core Requirements,
Management B.S.,MGMT,3301,Management Theory and Practice,College Core Requirements,
Information Technology B.A.S.,WRIT,1301,Composition I,University Core Requirements,42
Information Technology B.A.S.,WRIT,1302,Composition II,University Core Requirements,42
Information Technology B.A.S.,MATH,1314,College Algebra,University Core Requirements,42
Information Technology B.S.,WRIT,1301,Composition I,University Core Requirements,42
Information Technology B.S.,WRIT,1302,Composition II,University Core Requirements,42
Information Technology B.S.,MATH,1314,College Algebra,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,MATH,1314,College Algebra,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,ASTR,1304,Solar System,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,HIST,1302,United States History II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,POLS,2305,Federal Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,POLS,2306,Texas Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,ANTH,2346,General Anthropology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,WRIT,1301,Composition I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,WRIT,1301,Composition I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,WRIT,1302,Composition II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,MATH,1314,College Algebra,University Core Requirements,42
Mathematical Science B.S.,MATH,4345,Introduction to Statistics,Elective Requirements,9
Mathematical Science B.S.,STAT,4345,Introduction to Statistics,Elective Requirements,9
Mathematical Science B.S.,MATH,4346,Probability for Actuarial Exam P1,Elective Requirements,9
Mathematical Science B.S.,STAT,4346,Probability for Actuarial Exam P1,Elective Requirements,9
Mathematical Science B.S.,MATH,4348,Introduction to Financial Math for Exam FM,Elective Requirements,9
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,POLS,2306,Texas Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,ANTH,2346,General Anthropology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,GEOG,1303,World Regional Geography,University Core Requirements,42
Interdisciplinary Studies B.S. with Science 4-8 Certification,TCED,1301,Exploring Teaching as a Profession,College Core Requirements,
Interdisciplinary Studies B.S. with Science 4-8 Certification,ASTR,3311,Modern Astronomy,Major Requirements,
Interdisciplinary Studies B.S. with Science 4-8 Certification,CHEM,1311,General Chemistry I,Major Requirements,
Interdisciplinary Studies B.S. with Science 4-8 Certification,CHEM,1111,Laboratory for General Chemistry I,Major Requirements,
Interdisciplinary Studies B.S. with Science 4-8 Certification,CHEM,1312,General Chemistry II,Major Requirements,
Interdisciplinary Studies B.S. with Science 4-8 Certification,CHEM,1112,Laboratory for General Chemistry II,Major Requirements,
Legal Studies B.S.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Legal Studies B.S.,GEOG,1303,World Regional Geography,University Core Requirements,42
Legal Studies B.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Legal Studies B.S.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Legal Studies B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,EDUC,4310,Theories of Educational Psychology,College Core Requirements,
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,INST,3313,Survey of Instructional Technologies,College Core Requirements,
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,SILC,4315,Theories of American Pluralism,College Core Requirements,
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,SPED,2301,Introduction to Special Populations,College Core Requirements,
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,SPED,4300,Survey of Exceptionalities,College Core Requirements,
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,TCED,1301,Exploring Teaching as a Profession,College Core Requirements,
Management Information Systems B.S.,DSCI,3331,Quantitative Methods for Management,College Core Requirements,
Management Information Systems B.S.,ECON,3311,Money and Banking,College Core Requirements,
Management Information Systems B.S.,FINC,3331,Business Finance,College Core Requirements,
Management Information Systems B.S.,ISAM,3303,Information Systems for Management,College Core Requirements,
Management Information Systems B.S.,MGMT,3301,Management Theory and Practice,College Core Requirements,
Marketing B.S.,ECON,3311,Money and Banking,College Core Requirements,
Marketing B.S.,FINC,3331,Business Finance,College Core Requirements,
Marketing B.S.,ISAM,3303,Information Systems for Management,College Core Requirements,
Marketing B.S.,MGMT,3301,Management Theory and Practice,College Core Requirements,
Marketing B.S.,MGMT,4312,Strategic Management Capstone,College Core Requirements,
Marketing B.S.,MKTG,3301,Principles of Marketing,College Core Requirements,
Mathematics B.A. with Mathematics 4-8 Certification,TCED,4333,Mathematics Methods for Grades 4-8,PedagogyRequirements,15
Mathematics B.A. with Mathematics 4-8 Certification,TCED,4378,Pre-Service Internship I,PedagogyRequirements,15
Mathematics B.A. with Mathematics 4-8 Certification,TCED,4978,Pre-Service Internship II/Student Teaching,PedagogyRequirements,15
Literature B.A.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Literature B.A.,WRIT,3307,Advanced Writing,College Core Requirements,
Literature B.A.,HUMN,3374,Critical Inquiry,Major Requirements,36
Literature B.A.,HUMN,3375,Ideas in Transition,Major Requirements,36
Literature B.A.,PHIL,3331,Ethics,Major Requirements,36
Mathematical Science B.A.,MATH,2413,Calculus I,Major Requirements,36
Mathematical Science B.A.,MATH,2414,Calculus II,Major Requirements,36
Mathematical Science B.A.,MATH,2315,Calculus III,Major Requirements,36
Mathematical Science B.A.,MATH,2318,Linear Algebra,Major Requirements,36
Mathematical Science B.A.,MATH,2320,Differential Equations,Major Requirements,36
Mathematical Science B.A.,MATH,3300,Introduction to Modern Algebra and Number Theory,Major Requirements,36
Literature B.A. with English Language Arts and Reading 4-8 Certification,COMM,1315,Public Speaking,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,ANTH,3311,Contemporary Cultural Anthropology,College of Human Sciences and HumanitiesCore Requirements,9
